Id:ID,name,type,city,edition:INT,date,year:INT,month:INT,day:INT
9b8c89e6-2ab3-46e6-9a68-b96424fa0672,Browning-Davis Workshop,Workshop,Browntown,51,2022-09-26,2022,9,26
913e3f46-d5d2-4962-b60d-5a5040425643,"Martinez, Perry and Smith Workshop",Workshop,New Adam,83,2015-05-28,2015,5,28
dabaaf85-40f6-429d-8bc5-a91739f0a91b,"Martinez, Perry and Smith Workshop",Workshop,New Adam,84,2016-05-07,2016,5,7
e1cd59af-e07d-43da-9139-9ff3c798c384,"Martinez, Perry and Smith Workshop",Workshop,New Adam,85,2017-05-25,2017,5,25
d4706f05-66e3-4a2a-9339-a3c9d22d101d,"Martinez, Perry and Smith Workshop",Workshop,New Adam,86,2018-05-07,2018,5,7
1e147ac0-5af7-4fd4-86e7-0aa2d3f81b3f,"Martinez, Perry and Smith Workshop",Workshop,New Adam,87,2019-05-20,2019,5,20
adc1b001-765e-4eca-84f1-76b7fbb6ef55,"Martinez, Perry and Smith Workshop",Workshop,New Adam,88,2020-05-09,2020,5,9
2df4eeb1-edeb-4b95-8893-ca82123a0632,"Martinez, Perry and Smith Workshop",Workshop,New Adam,89,2021-05-04,2021,5,4
7afb68d2-f05a-458d-bd67-4e584b11299d,"Martinez, Perry and Smith Workshop",Workshop,New Adam,90,2022-05-13,2022,5,13
2c348377-f294-4b46-b7b4-7fe9ce331e70,Wang PLC Conference,Conference,East Michaelberg,84,2015-01-01,2015,1,1
e86b5069-0e01-48aa-a33a-3108a2951532,Wang PLC Conference,Conference,East Michaelberg,85,2016-01-19,2016,1,19
53ab2afd-cbde-43d6-aca4-5af9a7f0e7ad,Wang PLC Conference,Conference,East Michaelberg,86,2017-01-27,2017,1,27
b1b010b2-783f-4c9b-93cd-b87044b5ca7e,Wang PLC Conference,Conference,East Michaelberg,87,2018-01-19,2018,1,19
26cdbb5b-c7f9-4ed9-9793-4f8a0d6e5fa2,Wang PLC Conference,Conference,East Michaelberg,88,2019-01-05,2019,1,5
cccfba47-5bf4-4003-adc1-cd349fb94a67,Wang PLC Conference,Conference,East Michaelberg,89,2020-01-12,2020,1,12
e570cba9-ad72-44fc-8ea4-eb4a26c0fb97,Wang PLC Conference,Conference,East Michaelberg,90,2021-01-09,2021,1,9
c4796eb1-6025-4df8-95c5-5c1e402c6542,Wang PLC Conference,Conference,East Michaelberg,91,2022-01-16,2022,1,16
199dd3a9-d365-477b-80ca-eb3cd02e0103,Gray-Johnson Conference,Conference,West Aaron,15,2015-02-02,2015,2,2
69664694-8702-4c3f-b734-957b09a2da9c,Gray-Johnson Conference,Conference,West Aaron,16,2016-02-05,2016,2,5
f5938310-29dc-4a43-8f92-1a6c09dff18b,Gray-Johnson Conference,Conference,West Aaron,17,2017-02-24,2017,2,24
2152bbae-c9ec-4f21-8597-a74c2260982f,Gray-Johnson Conference,Conference,West Aaron,18,2018-02-18,2018,2,18
f91b1385-d86a-4da1-809f-fee0d6e80437,Gray-Johnson Conference,Conference,West Aaron,19,2019-02-09,2019,2,9
7294aa61-54fa-4ad0-bc54-d0577418d058,Gray-Johnson Conference,Conference,West Aaron,20,2020-02-05,2020,2,5
37e4c416-c5cc-401b-a286-9a0dce32b8a6,Gray-Johnson Conference,Conference,West Aaron,21,2021-02-26,2021,2,26
64632f8e-11e9-4958-8a55-40187aeb85ae,Gray-Johnson Conference,Conference,West Aaron,22,2022-02-17,2022,2,17
